,name,layer,unweightedbetweenness,nodeid,weightedbetweenness
Cultural Heritage & Sense of Place,Cultural Heritage & Sense of Place,1,1.091373414,Cultural Heritage & Sense of Place,1.119394994
Economic Opportunity,Economic Opportunity,1,5.167139058,Economic Opportunity,5.395685555
Freedom of Movement & Expression,Freedom of Movement & Expression,1,5.695227554,Freedom of Movement & Expression,6.072878542
Globalised Connectivity,Globalised Connectivity,1,14.02656851,Globalised Connectivity,14.57428524
Physical Settlement,Physical Settlement,1,0,Physical Settlement,0
Shared Community Resources,Shared Community Resources,1,52.9421662,Shared Community Resources,54.91573627
Social Opportunity,Social Opportunity,1,7.427032591,Social Opportunity,7.928869246
Urban Ecosystem Services,Urban Ecosystem Services,1,8.914850533,Urban Ecosystem Services,9.311838788
Collective identity and community support,Collective identity and community support,2,410.964363,Collective identity and community support,425.3063202
Comprehensive security & rule of law,Comprehensive security & rule of law,2,145.7256556,Comprehensive security & rule of law,152.3367073
Diverse livelihoods and employment,Diverse livelihoods and employment,2,395.4126985,Diverse livelihoods and employment,409.5310399
Effective leadership and management,Effective leadership and management,2,82.2751251,Effective leadership and management,85.38000639
Effective provision of critical services,Effective provision of critical services,2,238.7442958,Effective provision of critical services,245.3493746
Effective safeguards to human health and life,Effective safeguards to human health and life,2,166.7890124,Effective safeguards to human health and life,172.0007205
Empowered stakeholders,Empowered stakeholders,2,71.79232233,Empowered stakeholders,72.72106861
Integrated development & management,Integrated development & management,2,457.3290798,Integrated development & management,461.8356991
Minimal human vulnerability,Minimal human vulnerability,2,733.8924142,Minimal human vulnerability,770.3900661
Reduced exposure and fragility,Reduced exposure and fragility,2,93.56142825,Reduced exposure and fragility,96.88218639
Reliable communications and mobility,Reliable communications and mobility,2,50.10440533,Reliable communications and mobility,51.57933741
Sustainable economy,Sustainable economy,2,191.2484658,Sustainable economy,195.5691633
Access to clean air,Access to clean air,3,65.5315377,Access to clean air,68.03387861
Conservation of environmental assets,Conservation of environmental assets,3,303.7057919,Conservation of environmental assets,316.5111849
Enable people to work,Enable people to work,3,434.8983035,Enable people to work,493.8168283
Enable social interaction,Enable social interaction,3,403.2712955,Enable social interaction,450.4378441
Ensure provision of clothing,Ensure provision of clothing,3,64.08093509,Ensure provision of clothing,67.68171752
Ensure provision of food,Ensure provision of food,3,300.203716,Ensure provision of food,363.6053161
