desc
Business and commerce; Accountants and auditors
Business and commerce; Tax advisor
Business and commerce; Advertising and graphic design
Business and commerce; Public relations
Outdoors and natural environment; Allotments and community gardens
Food production and horticulture; Greenhouses and glasshouses
Food production and horticulture; Farming
Food production and horticulture; Agriculture
Food production and horticulture; Livestock
Food production and horticulture; Orchard
Governance; Ambulance station
Trades and services; Animal grooming
Retail; Pet
Animal; Boarding
Animal; Shelter and welfare
Retail; Clothing
Retail; Boutique
Retail; Clothing accessories
Trades and services; Dry cleaning and laundrette
Trades and services; Tailor
Military; Barracks
Military; Reserves
Military; Administration
Military; Training grounds
Social facility; Supported housing (health)
Healthcare; Hospice
Social facility; Drug rehabilitation
Amenity; ATM
Attractions; Multiplex
Attractions
Attractions; Amusement arcade
Attractions; Bowling alley
Attractions; Escape room
Attractions; Go Karting centre
Retail; Auction house
Vehicles; Retail
Business and commerce; Bank office
Business and commerce; Bank
Barrier; Wall
Barrier
Barrier; Bollard
Barrier; Cycle
Barrier; Height restriction
University; Student union
Hospitality; Bar
Attractions; Nightclub
Attractions; Pool hall
Outdoors and natural environment; Beach
Training; Beauty school
Trades and services; Beauty industry
Retail; Beauty and cosmetics
Waste management; Communal recycling bin
Waste management; Communal rubbish bin
Amenity; Public trash bin
Healthcare; Blood bank
Attractions; Botanical garden
Transport infrastructure; Bridge
Telecommunications; Office
Telecommunications; Broadcasting studio
Business and commerce; Production company
Transport infrastructure; Railway land
Brownfield site
Public transport; Bus station
Public transport; Bus stop
Retail; Printing and copying
Manufacturing; Signmaker
Trades and services; Business
Training; Meeting and training space
Hospitality; Cafes and coffee shops
Waterway; Canal
Social facility; Job centre
Business and commerce; Employment and recruitment agencies
Attractions; Bingo hall
Attractions; Casinos and gaming
Attractions; Betting shop
Historic; Castle
Attractions; Historic
Religious sites and buildings; Cemeteries and graveyards
Social facility; Charitable organisation offices or facilities
Business and commerce; NGO
Retail; Charity shop
Community centres; Breakfast & after school clubs and youth centres
Community centres; Social clubs
Community centres; Youth organisations
Attractions; Cinema
Social facility; Citizens advice
Outdoors and natural environment; Forest and woodland
Outdoors and natural environment; Commons and gardens
Community centres
"Community centres; Hall (Town, village or church)"
Trades and services; Electronics repair
Retail; Electronics and household appliances
Retail; IT and software
Exhibition centres; Conference centres
Exhibition centres; Stadiums and arenas
Exhibition centres; Events venue
Exhibition centres; Ice rink
Trades and services; Builder
Business and commerce; Engineering
Road and rail maintenance
Business and commerce; Money transfer and currency exchange
Business and commerce; Pawnbrokers and money lenders
Buildings; Council offices
Logistics; Courier
Buildings; Courthouses
Business and commerce; Coworking office
Business and commerce; Business centres and managed / serviced offices
Creative spaces; Art studios and centres
Training; Cooking
Training; Language school
Creative spaces; Photo studios and photographers
Manufacturing; Potter
Creative spaces; Dance studios
Creative spaces; Recording studios
Training; School of performing arts
Traffic crossings; Ford
Traffic crossings; Controlled / signalled
Traffic crossings; Uncontrolled
Traffic crossings; Level crossing
Social facility; Day care (not children)
Trades and services; Death care
Healthcare; Dental
Hospitality; Caterer
Governance; Diplomacy
Logistics; Depots and sorting offices
Industry; Warehouse
Training; Driving schools and test centres
Hospitality; Pub
Hospitality; Eateries and restaurants
Food retail; Delicatessan
Utilities office; Energy
Business and commerce; Surveying company
Buildings; Environmental regulators and managers
Amenity; Electric car charging point
Hospitality; Festivals and events management
Retail; Tickets
Trades and services; Exteriors
Manufacturing; Stonemason
Public transport; Ferry terminal
Business and commerce; Financial advisor
Business and commerce; Finances and investment
Governance; Fire station
Governance; Community fire station
Retail; Home furnishing and homeware
Trades and services; Upholstery
Manufacturing; Framer
Gas network; Administrative office
Gas network; Works
Gas network; Node
Gas network; Substation
Outdoors and natural environment; Grass land
Outdoors and natural environment; Shrub land
Outdoors and natural environment; Meadow
Healthcare; Alternative
Retail; Alternative medicine
Healthcare; Physiotherapy and massage
Healthcare; Specialist
Social facility; Homecare service
Retail; Healthcare
Healthcare; Outpatient services
Public transport; Helipad
University
College
Historic; War memorials and battlefields
Point of interest; Historic
Historic; Monuments and statues
Historic; Building
Historic; Tomb
Historic; Ruins and archaeological sites
Amenity; Fountain (decorative)
Historic; Milestones and stone markers
Historic; Fortifications
Historic; Artefact
Historic; Police call box
Religious sites and buildings; Shrines and relics
Historic; Quarry
Historic; Lighthouse
Historic; Residences
Historic; Ships and aircraft
Retail; Garden
Retail; Home improvement and DIY
Trades and services; Cleaner
Trades and services; Tool and equipment hire
Environmental management; Pest control
Trades and services; Gardener
Council; Park and street care
Healthcare; Hospital
University; Hospital
Hospitality; Hotels and motels
Hospitality; Guest house
Hospitality; Apartments and serviced apartments
Hospitality; Hostel
Electricity generation; Intermittent renewables
Electricity generation; Geothermal
Electricity generation; Generator
Business and commerce; Insurance
Trades and services; Interiors
Trades and services; Carpenter
Trades and services; Glazing
Business and commerce; Technology and software
Water; Lentic water bodies
Waste management; Landfill
Buildings; Learned societies
Buildings; Legal aid
Buildings; Lawyers and solicitors
Buildings; Library
Buildings; Archive
Governance; Lifeboat station
Trades and services; Locksmiths and cobblers
Manufacturing; Watchmakers and jewlers
"Manufacturing; Distilling, brewing and winemaking"
Manufacturing; Confectioner
Industry; Oil and petroleum supply
Industry; Gas supply
Industry; Oil pipeline
Manufacturing; Safety and security
Manufacturing; Industrials
Manufacturing; Blacksmiths and ironmongery
Industry; Quarry
Industry; Materials
Attractions; Marinas
Healthcare; Medical laboratory
Healthcare; General practice
Healthcare; Mental health and counselling
Retail; Department store
Retail; Discount
