MAP_TYPE,SOURCE,METRIC,PROB,BAND_DESC,GRIDCODE,SCENARIO,CCGRIDCODE,REFERENCE,VERSION,ISSUE_DATE,Shape_Length,Shape_Area,geometry
Hazard,River,Extent,M,Appropriate,1,Present Day,999,HA_084,v2_0,2020-11-05T00:00:00Z,140,475,"POLYGON ((-4.286812 55.92126, -4.286817 55.92135, -4.286897 55.92134, -4.286892 55.92125, -4.286972 55.92125, -4.286985 55.92148, -4.286745 55.92148, -4.286742 55.92144, -4.286582 55.92144, -4.286577 55.92135, -4.286737 55.92135, -4.286734 55.9213, -4.286575 55.92131, -4.286572 55.92126, -4.286812 55.92126))"
Hazard,River,Extent,M,Appropriate,1,Present Day,999,HA_084,v2_0,2020-11-05T00:00:00Z,150,775,"POLYGON ((-4.292296 55.92062, -4.292301 55.9207, -4.292221 55.92071, -4.292237 55.92098, -4.292077 55.92098, -4.29208 55.92102, -4.29192 55.92103, -4.291907 55.9208, -4.291827 55.9208, -4.291824 55.92076, -4.291904 55.92076, -4.291901 55.92071, -4.292141 55.92071, -4.292136 55.92062, -4.292296 55.92062))"
Hazard,River,Extent,M,Appropriate,1,Present Day,999,HA_084,v2_0,2020-11-05T00:00:00Z,80,225,"POLYGON ((-4.284121 55.92041, -4.284126 55.9205, -4.284046 55.9205, -4.284051 55.92059, -4.283971 55.92059, -4.283969 55.92055, -4.283809 55.92055, -4.283804 55.92046, -4.284044 55.92045, -4.284041 55.92041, -4.284121 55.92041))"
Hazard,River,Extent,M,Appropriate,1,Present Day,999,HA_084,v2_0,2020-11-05T00:00:00Z,70,225,"POLYGON ((-4.284505 55.92013, -4.28451 55.92022, -4.28443 55.92022, -4.284433 55.92027, -4.284273 55.92027, -4.28427 55.92023, -4.28419 55.92023, -4.284188 55.92018, -4.284267 55.92018, -4.284265 55.92014, -4.284505 55.92013))"
Hazard,River,Extent,M,Appropriate,1,Present Day,999,HA_084,v2_0,2020-11-05T00:00:00Z,900,10375,"POLYGON ((-4.282973 55.91993, -4.282975 55.91998, -4.283055 55.91998, -4.283058 55.92002, -4.283697 55.92001, -4.2837 55.92006, -4.28354 55.92006, -4.283543 55.9201, -4.283463 55.92011, -4.283465 55.92015, -4.283386 55.92015, -4.283388 55.9202, -4.283308 55.9202, -4.283306 55.92015, -4.283226 55.92015, -4.283228 55.9202, -4.283148 55.9202, -4.283146 55.92016, -4.283066 55.92016, -4.283071 55.92025, -4.282831 55.92025, -4.282834 55.9203, -4.282754 55.9203, -4.282759 55.92039, -4.282679 55.92039, -4.282682 55.92043, -4.282602 55.92044, -4.282605 55.92048, -4.282445 55.92048, -4.282447 55.92053, -4.282367 55.92053, -4.282373 55.92062, -4.282053 55.92063, -4.282056 55.92067, -4.281976 55.92067, -4.281978 55.92072, -4.281339 55.92073, -4.281341 55.92077, -4.281022 55.92078, -4.281024 55.92082, -4.280864 55.92083, -4.280867 55.92087, -4.280787 55.92087, -4.28079 55.92092, -4.28071 55.92092, -4.280712 55.92097, -4.280553 55.92097, -4.280555 55.92101, -4.280475 55.92101, -4.280478 55.92106, -4.280238 55.92106, -4.280241 55.92111, -4.280161 55.92111, -4.280163 55.92115, -4.279924 55.92116, -4.279926 55.9212, -4.279846 55.92121, -4.279844 55.92116, -4.279604 55.92117, -4.279601 55.92112, -4.279441 55.92112, -4.279431 55.92094, -4.279511 55.92094, -4.279508 55.9209, -4.279588 55.9209, -4.279585 55.92085, -4.279745 55.92085, -4.279743 55.9208, -4.279902 55.9208, -4.2799 55.92076, -4.28006 55.92075, -4.280057 55.92071, -4.280137 55.92071, -4.280134 55.92066, -4.280454 55.92066, -4.280452 55.92061, -4.280531 55.92061, -4.280526 55.92052, -4.280766 55.92051, -4.280763 55.92047, -4.280843 55.92047, -4.280846 55.92051, -4.281086 55.92051, -4.281083 55.92046, -4.281323 55.92046, -4.28132 55.92041, -4.2814 55.92041, -4.281403 55.92046, -4.281483 55.92046, -4.28148 55.92041, -4.28156 55.92041, -4.281557 55.92037, -4.281717 55.92036, -4.281715 55.92032, -4.281635 55.92032, -4.281632 55.92027, -4.281792 55.92027, -4.281789 55.92023, -4.281869 55.92022, -4.281872 55.92027, -4.281952 55.92027, -4.281939 55.92004, -4.282019 55.92004, -4.282016 55.92, -4.282176 55.91999, -4.282179 55.92004, -4.282258 55.92004, -4.282261 55.92008, -4.282421 55.92008, -4.282424 55.92012, -4.282663 55.92012, -4.282661 55.92008, -4.282741 55.92007, -4.282738 55.92003, -4.282818 55.92003, -4.282813 55.91994, -4.282973 55.91993))"
Hazard,River,Extent,M,Appropriate,1,Present Day,999,HA_084,v2_0,2020-11-05T00:00:00Z,60,125,"POLYGON ((-4.281774 55.91996, -4.281787 55.92018, -4.281707 55.92018, -4.281694 55.91996, -4.281774 55.91996))"
Hazard,River,Extent,M,Appropriate,1,Present Day,999,HA_084,v2_0,2020-11-05T00:00:00Z,60,125,"POLYGON ((-4.281614 55.91996, -4.2816 55.91974, -4.28168 55.91973, -4.281694 55.91996, -4.281614 55.91996))"
Hazard,River,Extent,M,Appropriate,1,Present Day,999,HA_084,v2_0,2020-11-05T00:00:00Z,210,1025,"POLYGON ((-4.359379 55.91831, -4.359539 55.91831, -4.359542 55.91836, -4.359702 55.91835, -4.359704 55.9184, -4.359784 55.9184, -4.359787 55.91844, -4.359947 55.91844, -4.35995 55.91848, -4.35987 55.91848, -4.359872 55.91853, -4.359793 55.91853, -4.359795 55.91858, -4.359635 55.91858, -4.359638 55.91862, -4.359398 55.91863, -4.359382 55.91836, -4.359302 55.91836, -4.359299 55.91832, -4.359219 55.91832, -4.359217 55.91827, -4.359057 55.91828, -4.359051 55.91819, -4.359211 55.91818, -4.359214 55.91823, -4.359374 55.91822, -4.359379 55.91831))"
Hazard,River,Extent,M,Appropriate,1,Present Day,999,HA_084,v2_0,2020-11-05T00:00:00Z,1690,10450,"MULTIPOLYGON (((-4.381465 55.91829, -4.381385 55.91829, -4.381379 55.91821, -4.381299 55.91821, -4.381296 55.91816, -4.381217 55.91816, -4.381219 55.91821, -4.381139 55.91821, -4.381142 55.91825, -4.381062 55.91826, -4.381065 55.9183, -4.380505 55.91831, -4.380511 55.9184, -4.380351 55.9184, -4.380354 55.91845, -4.380274 55.91845, -4.380277 55.9185, -4.380117 55.9185, -4.380122 55.91859, -4.380202 55.91859, -4.38021 55.91872, -4.38029 55.91872, -4.380288 55.91868, -4.380676 55.91867, -4.380242 55.91876, -4.380007 55.91879, -4.37994 55.91896, -4.379814 55.91907, -4.37978 55.91909, -4.379753 55.91909, -4.37975 55.91905, -4.37943 55.91905, -4.379425 55.91896, -4.379505 55.91896, -4.379502 55.91892, -4.379582 55.91891, -4.379563 55.9186, -4.379483 55.9186, -4.37948 55.91856, -4.3794 55.91856, -4.379406 55.91865, -4.379246 55.91865, -4.379249 55.9187, -4.378849 55.9187, -4.378852 55.91875, -4.378772 55.91875, -4.378777 55.91884, -4.378617 55.91884, -4.37862 55.91889, -4.37854 55.91889, -4.378529 55.91871, -4.378689 55.91871, -4.378686 55.91866, -4.378926 55.91866, -4.378921 55.91857, -4.379001 55.91857, -4.378998 55.91852, -4.379078 55.91852, -4.37908 55.91856, -4.37916 55.91856, -4.379158 55.91852, -4.379318 55.91851, -4.379315 55.91847, -4.379555 55.91847, -4.379549 55.91838, -4.379629 55.91837, -4.379626 55.91833, -4.379706 55.91833, -4.379687 55.91801, -4.379767 55.91801, -4.379764 55.91797, -4.379924 55.91796, -4.379927 55.91801, -4.379847 55.91801, -4.379849 55.91805, -4.380009 55.91805, -4.380012 55.9181, -4.380172 55.91809, -4.380175 55.91814, -4.380095 55.91814, -4.380098 55.91818, -4.380018 55.91819, -4.38002 55.91823, -4.37994 55.91823, -4.379943 55.91828, -4.380103 55.91827, -4.3801 55.91823, -4.38018 55.91823, -4.380177 55.91818, -4.380577 55.91818, -4.380572 55.91809, -4.380492 55.91809, -4.380478 55.91786, -4.380398 55.91786, -4.380392 55.91777, -4.380313 55.91778, -4.38031 55.91773, -4.38039 55.91773, -4.380387 55.91769, -4.380547 55.91768, -4.38055 55.91773, -4.38063 55.91773, -4.380632 55.91777, -4.380712 55.91777, -4.380715 55.91781, -4.380635 55.91782, -4.380641 55.9179, -4.38072 55.9179, -4.380723 55.91795, -4.380803 55.91795, -4.380806 55.91799, -4.380886 55.91799, -4.380889 55.91803, -4.381208 55.91803, -4.381206 55.91798, -4.381445 55.91798, -4.381443 55.91793, -4.381522 55.91793, -4.381525 55.91798, -4.381605 55.91798, -4.381622 55.91825, -4.381542 55.91825, -4.381545 55.91829, -4.381624 55.91829, -4.381627 55.91834, -4.381467 55.91834, -4.381465 55.91829), (-4.3798 55.91855, -4.37972 55.91855, -4.379723 55.9186, -4.379643 55.9186, -4.379645 55.91864, -4.379725 55.91864, -4.379731 55.91873, -4.379811 55.91873, -4.379808 55.91868, -4.380048 55.91868, -4.380045 55.91864, -4.379965 55.91864, -4.379957 55.9185, -4.379797 55.91851, -4.3798 55.91855)), ((-4.380765 55.91862, -4.380844 55.91862, -4.380842 55.91858, -4.381081 55.91857, -4.381079 55.91853, -4.381159 55.91852, -4.381156 55.91848, -4.381316 55.91848, -4.381313 55.91843, -4.381233 55.91843, -4.38123 55.91839, -4.38131 55.91839, -4.381307 55.91834, -4.381467 55.91834, -4.381473 55.91843, -4.381553 55.91843, -4.38155 55.91838, -4.38163 55.91838, -4.381633 55.91842, -4.381781 55.91842, -4.381572 55.91847, -4.381556 55.91847, -4.381556 55.91847, -4.38148 55.91849, -4.380766 55.91865, -4.380765 55.91862)), ((-4.381787 55.91833, -4.382107 55.91833, -4.382104 55.91828, -4.382403 55.91828, -4.381964 55.91838, -4.381792 55.91842, -4.381787 55.91833)), ((-4.382421 55.91823, -4.382501 55.91823, -4.382502 55.91825, -4.382423 55.91827, -4.382421 55.91823)), ((-4.382581 55.91823, -4.38261 55.91823, -4.382581 55.91823, -4.382581 55.91823)), ((-4.382738 55.91818, -4.382817 55.91818, -4.382739 55.9182, -4.382738 55.91818)), ((-4.382815 55.91813, -4.383024 55.91813, -4.382818 55.91818, -4.382815 55.91813)))"
Hazard,River,Extent,M,Appropriate,1,Present Day,999,HA_084,v2_0,2020-11-05T00:00:00Z,60,125,"POLYGON ((-4.281585 55.91947, -4.281598 55.91969, -4.281518 55.91969, -4.281505 55.91947, -4.281585 55.91947))"
